,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
738,INV-24295100033,02-01-2020,4636,Kwik Shop #561 / Cedar Rapids,2904 Center Point Rd NE,Cedar Rapids,52402,POINT (-91.662822 42.007194),57,LINN,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26826,Jack Daniels Old #7 Black Label,12,750,15.57,23.36,2,46.72,1.5,0.39
739,INV-24297000050,02-01-2020,3952,Lot-A-Spirits,3780 State St,Bettendorf,52722,POINT (-90.48065 41.529655),82,SCOTT,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,65066,Goldschlager Cinnamon Schnapps,12,750,13,19.5,12,234,9,2.37
740,INV-24315000038,02-01-2020,4446,QUIK TRIP #513 / URBANDALE,4600 Merle Hay Rd,Urbandale,50322,POINT (-93.697999 41.644296),77,POLK,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11294,Crown Royal,24,375,8,12,5,60,1.87,0.49
741,INV-24312300024,02-01-2020,3695,Mrs. B's Liquor,623 S Marion St,Remsen,51050,POINT (-95.977022 42.808951),75,PLYMOUTH,1062500,Flavored Rum,65,Jim Beam Brands,44520,Cruzan Vanilla,12,750,7,10.5,2,21,1.5,0.39
742,INV-24311700011,02-01-2020,3622,Wal-Mart 1415 / Spirit Lake,2600 Hwy 71,Spirit Lake,51360,POINT (-95.126535 43.416452),30,DICKINSON,1031100,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,10,15,12,173.52,9,2.37
743,INV-24311800011,02-01-2020,4582,Jiffy #926 / Spirit Lake,"2402, 17th St",Spirit Lake,51360,POINT (-95.126585 43.42282),30,DICKINSON,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,17958,Evan Williams Black,6,1750,15.5,23.25,6,139.5,10.5,2.77
744,INV-24291100051,02-01-2020,2673,Hy-Vee # 6/ Des Moines,420 Court Ave,Des Moines,50309,POINT (-93.62245400000002 41.584842),77,POLK,1032200,Imported Flavored Vodka,65,Jim Beam Brands,34255,Effen Raspberry,6,750,12.5,18.75,12,225,9,2.37
745,INV-24295200127,02-01-2020,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1031100,American Vodkas,380,Phillips Beverage,37665,Row Vodka,6,1750,12.22,18.33,6,105.48,10.5,2.77
746,INV-24305900010,02-01-2020,2191,Keokuk Spirits,1013 Main,Keokuk,52632,POINT (-91.387797 40.400038),56,LEE,1022200,100% Agave Tequila,255,Infinium Spirits,87385,Corralejo Silver,6,750,13.82,20.73,1,20.73,0.75,0.19
747,INV-24296900107,02-01-2020,2625,Hy-Vee Wine & Spirits #2 / Davenport,3301 W Kimberly Rd,Davenport,52804,POINT (-93.619787 41.60566),82,SCOTT,1081300,American Cordials & Liqueur,259,Heaven Hill Brands,73715,Evan Williams Cherry Reserve,12,750,8,12,12,144,9,2.37
748,INV-24296200003,02-01-2020,4154,Fareway Stores #055 / Hiawatha,885 Miller Rd,Hiawatha,52233,POINT (-91.702263 42.046486),57,LINN,1031100,American Vodkas,380,Phillips Beverage,37338,UV Vodka PET,6,1750,10.99,16.49,6,98.94,10.5,2.77
749,INV-24309700038,02-01-2020,2653,Hy-Vee Wine and Spirits / Washington,1004 W Madison St,Washington,52353,POINT (-91.704567 41.296576),92,WASHINGTON,1052100,Imported Brandies,65,Jim Beam Brands,47786,Courvoisier VS Cognac,12,750,17,25.5,2,50.38,1.5,0.39
750,INV-24307100028,02-01-2020,2611,Hy-Vee Drugstore / Ottumwa,1140 North Jefferson St,Ottumwa,52501,POINT (-92.401538 41.026754000000004),90,WAPELLO,1012100,Canadian Whiskies,300,McCormick Distilling Co.,12668,Canadian Woods Canadian Why,6,1750,9.74,14.61,6,87.66,10.5,2.77
751,INV-24293200020,02-01-2020,3420,Sam's Club 6344 / Windsor Heights,1101  73rd St,Windsor Heights,50311,POINT (-93.718027 41.599172),77,Polk,1041100,American Dry Gins,370,PERNOD RICARD USA,32238,Seagrams Extra Dry Gin,6,1750,12.49,18.74,6,112.44,10.5,2.77
752,INV-24294900158,02-01-2020,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1071100,Cocktails /RTD,395,PROXIMO,58875,Jose Cuervo Golden Margarita,6,1750,11.04,16.56,6,99.36,10.5,2.77
753,INV-24303800148,02-01-2020,2629,Hy-Vee Food Store #2 / Council Bluffs,1745 Madison Ave,Council Bluffs,51503,POINT (-95.825137 41.242732),78,POTTAWATTA,1062400,Spiced Rum,240,William Grant & Sons Inc,45886,Sailor Jerry Spiced Navy Rum,12,750,9.65,14.48,6,86.88,4.5,1.18
754,INV-24309100004,02-01-2020,5489,Casey's General Store #1550 / Winfield,201 N Locust,Winfield,52659,POINT (-91.43791 41.129927),44,HENRY,1031100,American Vodkas,260,DIAGEO AMERICAS,38006,Smirnoff 80prf PET,12,750,8.25,12.38,8,99.04,6,1.58
755,INV-24306800083,02-01-2020,2543,Hy-Vee Food Store #1 / Ottumwa,1025 North Quincy Ave,Ottumwa,52501,POINT (-92.438463 41.01558),90,Wapello,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,74086,Godiva Dark Chocolate Liqueur,12,750,17,25.5,2,51,1.5,0.39
756,INV-24303800089,02-01-2020,2629,Hy-Vee Food Store #2 / Council Bluffs,1745 Madison Ave,Council Bluffs,51503,POINT (-95.825137 41.242732),78,POTTAWATTA,1081300,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75208,Kinky Pink Mini,6,50,4.84,7.26,6,43.56,0.3,0.07
757,INV-24301300002,02-01-2020,4236,Fareway Stores #551 / Eagle Grove,205 NW  1st St,Eagle Grove,50533,POINT (-93.903801 42.665165),99,WRIGHT,1062400,Spiced Rum,259,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.33,6,103.98,10.5,2.77
758,INV-24308800035,02-01-2020,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556,POINT (-91.978702 41.006456),51,JEFFERSON,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68039,Baileys Original Irish Cream 100ml,4,2400,41.76,62.64,4,191.52,9.6,2.53
759,INV-24295200113,02-01-2020,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1051100,American Brandies,259,Heaven Hill Brands,56006,Christian Bros Peach,12,750,6,9,2,18,1.5,0.39
760,INV-24311100003,02-01-2020,5293,The Boonedocks,"228, N Hwy 71",Arnolds Park,51331,POINT (-95.125928 43.370941),30,DICKINSON,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65254,Jagermeister Liqueur,24,375,6.52,9.78,6,58.68,2.25,0.59
761,INV-24306300034,02-01-2020,5257,MAD Ave Quik Shop,"405, Madison Ave",Ottumwa,52501,POINT (-93.619787 41.60566),90,WAPELLO,1082000,Imported Cordials & Liqueurs,619,Campari America,65127,Grand Marnier Cordon Rouge,12,1000,25.55,38.33,2,76.66,2,0.52
762,INV-24311300001,02-01-2020,2233,Forbes Liquor Locker / remi,2508 Enterprise Ave,Spirit Lake,51360,POINT (-95.126786 43.416433),30,DICKINSON,1701100,Temporary & Specialty Packages,55,SAZERAC NORTH AMERICA,62920,Mr Boston Holiday Nog,12,750,3.64,5.46,12,65.52,9,2.37
763,INV-24303600010,02-01-2020,5164,Bucky's Express #22 / Council Bluffs,3434 Nebraska Ave,Council Bluffs,51501,POINT (-95.900444 41.244643),78,POTTAWATTA,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26823,Jack Daniels Old #7 Black Label,48,200,4.23,6.35,6,38.1,1.2,0.31
764,INV-24310600061,02-01-2020,2565,Hy-Vee Food Store #1636 / Spencer,819 N Grand Ave,Spencer,51301,POINT (-95.14506 43.145897),21,CLAY,1031100,American Vodkas,297,Laird & Company,35917,Five O'Clock Vodka,12,1000,4.17,6.26,12,75.12,12,3.17
765,INV-24294000110,02-01-2020,2521,Hy-Vee Food and Drug / Grand / WDM,1990 Grand Avenue,West Des Moines,50265,POINT (-93.73162 41.571127),77,POLK,1032200,Imported Flavored Vodka,260,DIAGEO AMERICAS,34449,Ketel One Citroen,12,750,12.5,18.75,4,75,3,0.79
766,INV-24295700027,02-01-2020,5636,Big Discount Liquor,5427  Center Point Rd,Cedar Rapids,52402,POINT (-93.619787 41.60566),57,LINN,1011100,Blended Whiskies,492,WESTERN SPIRITS BEVERAGE,27433,Bird Dog Peach,6,750,10,15,6,90,4.5,1.18
767,INV-24290900019,02-01-2020,2501,Hy-Vee  #2 / Ames,640 Lincolnway,Ames,50010,POINT (-93.619455 42.022848),85,STORY,1012400,Irish Whiskies,370,PERNOD RICARD USA,15644,Jameson,24,375,7.1,10.65,8,85.2,3,0.79
768,INV-24304500082,02-01-2020,3443,Super Saver Iv,1141 N Broadway,Council Bluffs,51503,POINT (-95.836515 41.270824),78,POTTAWATTA,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68036,Baileys Original Irish Cream,12,750,16.49,24.74,12,243,9,2.37
769,INV-24297500001,02-01-2020,5040,Wilton Express,1300 Nicolaus St,Wilton,52778,POINT (-91.034817 41.589962),70,MUSCATINE,1081200,Cream Liqueurs,330,Gemini Spirits,80456,Ryans Cream Liqueur,12,750,6.7,10.05,12,120.6,9,2.37
770,INV-24293100010,02-01-2020,3645,Wal-Mart 1764 / Windsor Heights,1001  73rd St,Windsor Heights,50311,POINT (-93.716991 41.594787),77,Polk,1062500,Flavored Rum,370,PERNOD RICARD USA,42718,Malibu Coconut Rum,6,1750,16.99,25.49,6,152.94,10.5,2.77
771,INV-24306500026,02-01-2020,3916,Smokin' Joe's #5 Tobacco and Liquor Outlet,1115 Albia Rd,Ottumwa,52501,POINT (-92.437224 41.009342),90,WAPELLO,1032100,Imported Vodkas,35,BACARDI USA INC,34359,Grey Goose,12,200,4.67,7.01,2,14.02,0.4,0.1
772,INV-24300300019,02-01-2020,3704,Celtics Beverage Company,1122 Broadway,Emmetsburg,50536,POINT (-94.678807 43.10937),74,PALO ALTO,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77880,Smirnoff Sours Watermelon,12,750,8.25,12.38,1,12.38,0.75,0.19
773,INV-24307400020,02-01-2020,4522,Casey's General Store #2523 / Monroe,201 Ralph St,Monroe,50170,POINT (-93.099657 41.509806),50,JASPER,1062400,Spiced Rum,260,DIAGEO AMERICAS,43331,Captain Morgan Original Spiced Mini,12,50,4.8,7.2,6,43.2,0.3,0.07
774,INV-24309000001,02-01-2020,5743,Casey's General Store #3327 / Fairfield,2125 Libertyville Rd,Fairfield,52556,POINT (-91.963638 40.988355),51,JEFFERSON,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26826,Jack Daniels Old #7 Black Label,12,750,15.57,23.36,6,140.16,4.5,1.18
775,INV-24298500090,02-01-2020,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77880,Smirnoff Sours Watermelon,12,750,8.25,12.38,2,24.76,1.5,0.39
776,INV-24302700014,02-01-2020,4629,Kwik Shop #541 / Glenwood,309 N Locust St,Glenwood,51534,POINT (-95.744909 41.050184),65,MILLS,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25608,Seagrams 7 Crown,6,1750,12.96,19.44,6,116.64,10.5,2.77
777,INV-24300600046,02-01-2020,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona,50511,POINT (-94.235955 43.08091),55,KOSSUTH,1042100,Imported Dry Gins,35,BACARDI USA INC,28236,Bombay Sapphire Gin,12,750,13.5,20.25,6,121.5,4.5,1.18
778,INV-24291300041,02-01-2020,3625,Wal-Mart 0892 / Ankeny,1002 SE National Dr,Ankeny,50021,POINT (-93.582348 41.70486400000001),77,POLK,1071100,Cocktails /RTD,395,PROXIMO,58886,Jose Cuervo Authentic Light White Peach Margarita,6,1750,8.74,13.11,6,78.66,10.5,2.77
779,INV-24314400044,02-01-2020,5128,Price Chopper  /  Beaver #1310,1819 Beaver Ave,Des Moines,50310,POINT (-93.672695 41.610525),77,POLK,1031100,American Vodkas,421,SAZERAC COMPANY  INC,36978,Nikolai Vodka,6,1750,6.5,9.75,6,62.28,10.5,2.77
780,INV-24293500014,02-01-2020,2620,Hy-Vee / Windsor Heights,7101 University Ave,Windsor Heights,50311,POINT (-93.619787 41.60566),77,Polk,1011500,Bottled in Bond Bourbon,619,Campari America,22199,Wild Turkey Rare Breed,6,750,25,37.5,6,225,4.5,1.18
781,INV-24306800062,02-01-2020,2543,Hy-Vee Food Store #1 / Ottumwa,1025 North Quincy Ave,Ottumwa,52501,POINT (-92.438463 41.01558),90,Wapello,1052100,Imported Brandies,420,MOET HENNESSY USA,48105,Hennessy VS,12,375,10.99,16.49,4,64.44,1.5,0.39
782,INV-24313600026,02-01-2020,4004,Wal-Mart 4256 / Ames,534 S Duff Ave,Ames,50010,POINT (-93.610343 42.017115),85,STORY,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77637,Smirnoff Cherry,12,750,8.25,12.38,12,148.56,9,2.37
783,INV-24298500002,02-01-2020,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1012400,Irish Whiskies,130,DISARONNO INTERNATIONAL,15617,Irishman Founders Reserve,6,750,17.54,26.31,6,157.86,4.5,1.18
784,INV-24300800027,02-01-2020,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona,50511,POINT (-94.226877 43.06732),55,KOSSUTH,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26828,Jack Daniels Old #7 Black Label,6,1750,30.68,46.02,3,138.06,5.25,1.38
785,INV-24305800006,02-01-2020,2191,Keokuk Spirits,1013 Main,Keokuk,52632,POINT (-91.387797 40.400038),56,LEE,1081400,American Schnapps,380,Phillips Beverage,83363,Ice Hole Butterscotch Schnapps,12,750,5.15,7.73,12,92.76,9,2.37
786,INV-24301300014,02-01-2020,4236,Fareway Stores #551 / Eagle Grove,205 NW  1st St,Eagle Grove,50533,POINT (-93.903801 42.665165),99,WRIGHT,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10807,Crown Royal Regal Apple,12,750,15.59,23.39,12,280.68,9,2.37
787,INV-24311400010,02-01-2020,2522,Hy-Vee Wine and Spirits / Spirit Lake,Hwy 9 & 71,Spirit Lake,51360,POINT (-93.619787 41.60566),30,DICKINSON,1012100,Canadian Whiskies,380,Phillips Beverage,14519,Revel Stoke Peanut Butter Whisky,12,750,8.34,12.51,4,48,3,0.79
788,INV-24304500094,02-01-2020,3443,Super Saver Iv,1141 N Broadway,Council Bluffs,51503,POINT (-95.836515 41.270824),78,POTTAWATTA,1012100,Canadian Whiskies,259,Heaven Hill Brands,11776,Black Velvet,12,750,5.23,7.85,12,94.2,9,2.37
789,INV-24295200155,02-01-2020,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1042100,Imported Dry Gins,260,DIAGEO AMERICAS,28867,Tanqueray Gin,12,1000,15.5,23.25,12,279,12,3.17
790,INV-24303600027,02-01-2020,5164,Bucky's Express #22 / Council Bluffs,3434 Nebraska Ave,Council Bluffs,51501,POINT (-95.900444 41.244643),78,POTTAWATTA,1022100,Mixto Tequila,395,PROXIMO,89191,Jose Cuervo Especial Reposado Mini,12,50,11.5,17.25,1,17.25,0.05,0.01
791,INV-24295600015,02-01-2020,3707,Target Store T-1768 / Cedar Rapids,1030 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.649625 42.035157),57,LINN,1062400,Spiced Rum,259,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.33,6,103.98,10.5,2.77
792,INV-24307900117,02-01-2020,3990,Cork and Bottle / Oskaloosa,309 A Ave West,Oskaloosa,52577,POINT (-92.648153 41.296228),62,MAHASKA,1032100,Imported Vodkas,370,PERNOD RICARD USA,34001,Absolut Swedish Vodka 80prf Mini,10,50,7.92,11.88,10,118.8,0.5,0.13
793,INV-24294900185,02-01-2020,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1091300,Neutral Grain Spirits Flavored,384,PIEDMONT DISTILLERS INC,76036,Midnight Moon Apple Pie,6,750,11.5,17.25,6,103.5,4.5,1.18
794,INV-24293200005,02-01-2020,3420,Sam's Club 6344 / Windsor Heights,1101  73rd St,Windsor Heights,50311,POINT (-93.718027 41.599172),77,Polk,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25608,Seagrams 7 Crown,6,1750,12.96,19.44,42,816.48,73.5,19.41
795,INV-24291100034,02-01-2020,2673,Hy-Vee # 6/ Des Moines,420 Court Ave,Des Moines,50309,POINT (-93.62245400000002 41.584842),77,POLK,1012200,Scotch Whiskies,240,William Grant & Sons Inc,5635,Monkey Shoulder,6,750,19,28.5,6,162,4.5,1.18
796,INV-24299500067,02-01-2020,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft,50517,POINT (-94.218 43.29355),55,KOSSUTH,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,24,192,9,2.37
797,INV-24304500055,02-01-2020,3443,Super Saver Iv,1141 N Broadway,Council Bluffs,51503,POINT (-95.836515 41.270824),78,POTTAWATTA,1052100,Imported Brandies,420,MOET HENNESSY USA,48105,Hennessy VS,12,375,10.99,16.49,1,16.11,0.37,0.09
798,INV-24294000157,02-01-2020,2521,Hy-Vee Food and Drug / Grand / WDM,1990 Grand Avenue,West Des Moines,50265,POINT (-93.73162 41.571127),77,POLK,1031200,American Flavored Vodka,205,E & J Gallo Winery,39917,New Amsterdam Apple,24,375,3.5,5.25,2,10.5,0.75,0.19
799,INV-24313400002,02-01-2020,4102,Fareway Stores #386 / Ames,619 Burnett Ave,Ames,50010,POINT (-93.615428 42.027426),85,STORY,1071100,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57148,Chi-Chi's Margarita,6,1750,6.5,9.75,6,55.56,10.5,2.77
800,INV-24296900022,02-01-2020,2625,Hy-Vee Wine & Spirits #2 / Davenport,3301 W Kimberly Rd,Davenport,52804,POINT (-93.619787 41.60566),82,SCOTT,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25607,Seagrams 7 Crown,12,1000,8,12,24,288,24,6.34
801,INV-24294900005,02-01-2020,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1012300,Single Malt Scotch,260,DIAGEO AMERICAS,5430,Lagavulin 16YR,12,750,62.99,94.49,2,151.48,1.5,0.39
802,INV-24298900020,02-01-2020,4247,Fareway Stores #879 / Belmond,512 River Ave N,Belmond,50421,POINT (-93.616788 42.850357),99,WRIGHT,1022200,100% Agave Tequila,65,Jim Beam Brands,89836,Hornitos Gold,12,750,13.5,20.25,3,60.75,2.25,0.59
803,INV-24314900022,02-01-2020,5126,Price Chopper  /  Merle Hay #1315,4343 Merle Hay Rd,Des Moines,50310,POINT (-93.697647 41.63740800000001),77,POLK,1031100,American Vodkas,434,LUXCO INC,36305,Hawkeye Vodka PET,12,750,3.34,5.01,36,180.36,27,7.13
804,INV-24308800112,02-01-2020,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556,POINT (-91.978702 41.006456),51,JEFFERSON,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86887,Southern Comfort,12,1000,12.97,19.46,1,19.46,1,0.26
805,INV-24295200138,02-01-2020,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77688,Smirnoff Lime,12,750,8.25,12.38,2,24.76,1.5,0.39
806,INV-24311000001,02-01-2020,5068,Tobacco Shop / Arnolds Park,612 S Highway 71,Arnolds Park,51331,POINT (-95.14027400000002 43.361577),30,DICKINSON,1052100,Imported Brandies,389,REMY COINTREAU USA INC,49086,Remy Martin 1738 Accord Royal,6,750,28.48,42.72,6,251.76,4.5,1.18
807,INV-24306100011,02-01-2020,2555,Hy-Vee Food Store / Keokuk,3111 Main,Keokuk,52632,POINT (-91.403752 40.41538),56,LEE,1032100,Imported Vodkas,65,Jim Beam Brands,34578,Pinnacle,6,1750,12.59,18.89,6,113.34,10.5,2.77
808,INV-24297000018,02-01-2020,3952,Lot-A-Spirits,3780 State St,Bettendorf,52722,POINT (-90.48065 41.529655),82,SCOTT,1022200,100% Agave Tequila,35,BACARDI USA INC,87306,Cazadores Blanco,12,750,14,21,6,126,4.5,1.18
809,INV-24293900230,02-01-2020,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265,POINT (-93.773557 41.561197),77,POLK,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67526,Kahlua Coffee,12,750,12.49,18.74,12,224.88,9,2.37
810,INV-24293600002,02-01-2020,2620,Hy-Vee / Windsor Heights,7101 University Ave,Windsor Heights,50311,POINT (-93.619787 41.60566),77,Polk,1012300,Single Malt Scotch,260,DIAGEO AMERICAS,5696,Oban Single Malt Scotch,12,750,55.99,83.99,1,61.5,0.75,0.19
811,INV-24296600025,02-01-2020,2670,Hy-Vee Food Store / Coralville,2004 8th  St,Coralville,52241,POINT (-91.591868 41.682337000000004),52,JOHNSON,1062200,White Rum,434,LUXCO INC,45278,Paramount White Rum,6,1750,7.5,11.25,6,70.56,10.5,2.77
812,INV-24308200001,02-01-2020,2600,Hy-Vee Food Store / Oskaloosa,110  S  D  St,Oskaloosa,52577,POINT (-92.649764 41.295218),62,MAHASKA,1062400,Spiced Rum,240,William Grant & Sons Inc,45886,Sailor Jerry Spiced Navy Rum,12,750,9.65,14.48,6,86.88,4.5,1.18
813,INV-24303600025,02-01-2020,5164,Bucky's Express #22 / Council Bluffs,3434 Nebraska Ave,Council Bluffs,51501,POINT (-95.900444 41.244643),78,POTTAWATTA,1031200,American Flavored Vodka,380,Phillips Beverage,41703,UV Red Cherry Mini,12,50,4.4,6.6,1,6.6,0.05,0.01
814,INV-24300300034,02-01-2020,3704,Celtics Beverage Company,1122 Broadway,Emmetsburg,50536,POINT (-94.678807 43.10937),74,PALO ALTO,1022100,Mixto Tequila,395,PROXIMO,89199,Jose Cuervo Especial Reposado Square,12,375,5.5,8.25,2,16.5,0.75,0.19
815,INV-24291200005,02-01-2020,4406,Kum & Go #4020 / Ankeny,1910 SW White Birch Circle,Ankeny,50023,POINT (-93.62657100000001 41.701905),77,POLK,1031100,American Vodkas,260,DIAGEO AMERICAS,37991,Smirnoff 80prf Mini,12,50,7.47,11.21,6,67.26,0.3,0.07
816,INV-24291800057,02-01-2020,3656,Target Store T-1767 / Ankeny,2135 SE Delaware Ave,Ankeny,50021,POINT (-93.581201 41.708563),77,POLK,1011200,Straight Bourbon Whiskies,85,Brown Forman Corp.,22228,Woodford Reserve Double Oaked,6,750,30.49,45.74,6,274.44,4.5,1.18
817,INV-24306600023,02-01-2020,4069,Fareway Stores #648 / Ottumwa,1325 Albia Rd,Ottumwa,52501,POINT (-92.440213 41.00934),90,WAPELLO,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25608,Seagrams 7 Crown,6,1750,12.96,19.44,294,5715.36,514.5,135.91
818,INV-24297000085,02-01-2020,3952,Lot-A-Spirits,3780 State St,Bettendorf,52722,POINT (-90.48065 41.529655),82,SCOTT,1062400,Spiced Rum,240,William Grant & Sons Inc,45887,Sailor Jerry Spiced Navy Rum,12,1000,11.78,17.67,12,212.04,12,3.17
819,INV-24307000005,02-01-2020,3726,Wal-Mart 1285 / Ottumwa,1940 Venture Dr,Ottumwa,52501,POINT (-92.456896 41.01455),90,WAPELLO,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26826,Jack Daniels Old #7 Black Label,12,750,15.57,23.36,24,560.64,18,4.75
820,INV-24311400025,02-01-2020,2522,Hy-Vee Wine and Spirits / Spirit Lake,Hwy 9 & 71,Spirit Lake,51360,POINT (-93.619787 41.60566),30,DICKINSON,1042100,Imported Dry Gins,260,DIAGEO AMERICAS,28868,Tanqueray Gin,6,1750,24.99,37.49,6,224.94,10.5,2.77
821,INV-24300100034,02-01-2020,4899,Graettinger Market,"124, W Robins St",Graettinger,51342,POINT (-94.750949 43.237678),74,PALO ALTO,1031200,American Flavored Vodka,380,Phillips Beverage,41681,UV Red Cherry,6,1750,10.99,16.49,2,32.98,3.5,0.92
822,INV-24303100053,02-01-2020,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501,POINT (-95.8792 41.238092),78,POTTAWATTA,1081400,American Schnapps,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,1000,7.87,11.81,12,141.72,12,3.17
823,INV-24297200003,02-01-2020,5850,Casey's General Store #2684 - Durant,504 5TH Street,Durant,52747,POINT (-90.912683 41.600976),16,CEDAR,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64865,Fireball Cinnamon Whiskey PET,12,750,8.98,13.47,24,323.28,18,4.75
824,INV-24307700111,02-01-2020,2642,Hy-Vee Wine and Spirits / Pella,512 E Oskaloosa,Pella,50219,POINT (-92.899277 41.396961000000005),63,MARION,1082200,Imported Schnapps,260,DIAGEO AMERICAS,69947,Rumple Minze Peppermint Schnapps Liqueur,12,1000,15.84,23.76,1,23.76,1,0.26
825,INV-24293900109,02-01-2020,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265,POINT (-93.773557 41.561197),77,POLK,1062400,Spiced Rum,260,DIAGEO AMERICAS,43285,Captain Morgan Original Spiced PET,12,750,9.06,13.59,12,163.08,9,2.37
826,INV-24295500014,02-01-2020,4634,Kwik Shop #565 / Cedar Rapids,"4201, Center Point Rd NE",Cedar Rapids,52402,POINT (-91.665659 42.021931),57,LINN,1031100,American Vodkas,300,McCormick Distilling Co.,36886,McCormick 80prf Vodka,12,750,3.31,4.97,4,19.88,3,0.79
827,INV-24307100060,02-01-2020,2611,Hy-Vee Drugstore / Ottumwa,1140 North Jefferson St,Ottumwa,52501,POINT (-92.401538 41.026754000000004),90,WAPELLO,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64863,Fireball Cinnamon Whiskey,48,200,2.5,3.75,12,45,2.4,0.63
828,INV-24307900038,02-01-2020,3990,Cork and Bottle / Oskaloosa,309 A Ave West,Oskaloosa,52577,POINT (-92.648153 41.296228),62,MAHASKA,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,28043,Jim Beam Vanilla,12,750,10.5,15.75,1,15.75,0.75,0.19
829,INV-24296100012,02-01-2020,3628,Wal-Mart 1528 / Cedar Rapids,2645 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.680734 42.034748),57,LINN,1012100,Canadian Whiskies,421,SAZERAC COMPANY  INC,11348,Seagrams VO Canadian Whiskey PET,6,1750,10.45,15.68,6,94.08,10.5,2.77
